scenario,buffer_distance_m,admin_level,county,total_dog_population,covered_dog_population,uncovered_dog_population,coverage_pct,pct_of_country_dog_population,pct_of_total_buffer_population,uncovered_rural_dog_population,uncovered_urban_dog_population,pct_uncovered_population_rural,pct_uncovered_population_urban,uncovered_rural_pixel_count,uncovered_urban_pixel_count,coverage_class
3km,3000,county,Baringo,93716.5,84971.171875,8745.328125,90.66831547806416,1.4525247733426154,1.373207548076954,8716.7392578125,28.02993392944336,99.6730955456574,0.3205132332235202,551652.9375,114.88079833984375,≥70% coverage
3km,3000,county,Bomet,125416.1328125,125234.421875,181.7109375,99.85511358592785,1.9438416915589456,2.0238964533852806,164.78839111328125,16.917654037475586,90.68710633518208,9.310201284650566,41119.8984375,24.35344696044922,≥70% coverage
3km,3000,county,Bungoma,272423.71875,272010.34375,413.375,99.84826027561155,4.222332250249382,4.3959221574818015,413.3949279785156,0,100.00482079915709,0,62351.18359375,0,≥70% coverage
3km,3000,county,Busia,146334.09375,146314.859375,19.234375,99.98685584848542,2.2680520117216902,2.364574535763022,19.24310874938965,0,100.04540698301685,0,1808.351318359375,0,≥70% coverage
3km,3000,county,Elgeyo Marakwet,63293.3359375,62906.46875,386.8671875,99.38877105816951,0.9809920178059915,1.0166228828460186,386.8665771484375,0,99.99984223227449,0,52314.06640625,0,≥70% coverage
3km,3000,county,Embu,86465.2265625,86201.8125,263.4140625,99.69535260245968,1.3401363005950202,1.3930957637850552,263.1786193847656,0,99.91061862339473,0,27422.8203125,0,≥70% coverage
3km,3000,county,Garissa,73466.1171875,52891.55078125,20574.56640625,71.99448236288349,1.1386613372899699,0.8547731561141074,19909.40234375,665.16229248046875,96.767056717667,3.2329346793836216,4880008.5,1724.8370361328125,≥70% coverage
3km,3000,county,Homa Bay,180522.703125,180463.359375,59.34375,99.96712671094953,2.7979459160322557,2.9164437982522995,59.357086181640625,0,100.02247276527119,0,7361.7451171875,0,≥70% coverage
3km,3000,county,Isiolo,41265.9375,31029.69921875,10236.23828125,75.19446085224648,0.6395863750135572,0.5014667473861418,10236.240234375,0,100.00001908049565,0,2809764.75,0,≥70% coverage
3km,3000,county,Kajiado,111383.40625,96345.4140625,15037.9921875,86.4988936020261,1.726346554954674,1.557025128567753,14536.8779296875,499.7284240722656,96.66767842698415,3.3231060226753804,1687496.625,1443.3487548828125,≥70% coverage
3km,3000,county,Kakamega,300667.1875,300663.15625,4.03125,99.99865923181258,4.660081611829284,4.85897636198913,4.03187894821167,0,100.01560181610346,0,8230.251953125,0,≥70% coverage
3km,3000,county,Kericho,127337.0859375,127256.671875,80.4140625,99.93684945598686,1.973614805178131,2.0565777605018143,62.91114044189453,17.49859046936035,78.2340034641261,21.760609929837024,29810.615234375,77.49236297607422,≥70% coverage
3km,3000,county,Kiambu,354512.40625,354204.1875,308.21875,99.91305840231085,5.494635976966985,5.724245683594848,302.3377380371094,5.887751579284668,98.0919356908395,1.9102509432942245,26512.5,55.76881790161133,≥70% coverage
3km,3000,county,Kilifi,117923.3359375,113316.625,4606.7109375,96.09346962509476,1.827709814220786,1.8312945595421175,4468.037109375,138.6754150390625,96.9897432244738,3.010291223402,870751.75,674.890380859375,≥70% coverage
3km,3000,county,Kirinyaga,86376.6484375,85875.6484375,501,99.4199821258838,1.3387634161943143,1.3878246707466384,500.9959716796875,0,99.9991959440494,0,37583.02734375,0,≥70% coverage
3km,3000,county,Kisii,204476.59375,204476.59375,0,100,3.1692105231265444,3.3045184119106863,0,0,NA,NA,0,0,≥70% coverage
3km,3000,county,Kisumu,190502.671875,190349.71875,152.953125,99.91971077177313,2.9526268083677585,3.076215907041418,142.5598907470703,0,93.20495462062009,0,4157.62939453125,0,≥70% coverage
3km,3000,county,Kitui,159637.40625,147512.421875,12124.984375,92.40467215057875,2.4742418606145584,2.383928180393381,12124.9853515625,0,100.0000080541341,0,1990830.875,0,≥70% coverage
3km,3000,county,Kwale,70642.5,62714.140625,7928.359375,88.77678539830839,1.0948977106577358,1.0135146941847393,7750.68115234375,177.6818389892578,97.75895347003932,2.241092142587921,478392.1875,639.83770751953125,≥70% coverage
3km,3000,county,Laikipia,74965.5078125,66539.171875,8426.3359375,88.75971605691576,1.161900596414352,1.075330503808469,8348.9091796875,77.43021392822266,99.08113374084785,0.9189072747934535,687960.875,283.5075378417969,≥70% coverage
3km,3000,county,Lamu,11088.0751953125,8454.333984375,2633.7412109375,76.24708378555263,0.17185558476764673,0.1366293412827815,2629.7783203125,3.9629383087158203,99.84953378834098,0.15046802215260863,617660.5625,77.77507781982422,≥70% coverage
3km,3000,county,Machakos,205960.140625,202119.046875,3841.09375,98.13503052661358,3.1922042178158736,3.266418417615471,3314.763427734375,526.33709716796875,86.29738411707277,13.702792262437457,76505.2578125,1201.2376708984375,≥70% coverage
3km,3000,county,Makueni,140328.171875,136631.6875,3696.484375,97.36582873872773,2.174965412134661,2.208086112517106,3696.476806640625,0,99.99979525520448,0,218094.296875,0,≥70% coverage
3km,3000,county,Mandera,70814.15625,54392.47265625,16421.68359375,76.81016838529372,1.097558234211476,0.8790293503308452,15780.4052734375,641.27716064453125,96.09492950797951,3.905063430211247,2831948.5,860.66741943359375,≥70% coverage
3km,3000,county,Marsabit,43779.82421875,26190.4921875,17589.33203125,59.82320088047122,0.6785494470058036,0.42326098094343245,17536.14453125,37.02177810668945,99.69761500945286,0.21047859032346933,8067872,74.0060043334961,50–69% coverage
3km,3000,county,Meru,219074,217058.96875,2015.03125,99.08020520463405,3.3954577069700655,3.5078604624140324,2004.9566650390625,10.061440467834473,99.50002835137482,0.4993193265779115,380726.59375,74.03522491455078,≥70% coverage
3km,3000,county,Migori,184951.609375,184562.5625,389.046875,99.7896493702787,2.866590136067542,2.982690462245959,67.558135986328125,309.051025390625,17.36503756425961,79.43799198763003,382.8902587890625,770.072021484375,≥70% coverage
3km,3000,county,Mombasa,98208.8046875,98184.5859375,24.21875,99.9753395328687,1.5221516143791127,1.5867477350145158,7.186594009399414,17.03561782836914,29.673678490423388,70.34061554939515,252.9325714111328,131.052001953125,≥70% coverage
3km,3000,county,Muranga,148138.15625,148056.640625,81.515625,99.9449732418281,2.2960134216538624,2.3927232255694606,75.62471008300781,5.884535312652588,92.77326903033352,7.218904734708945,32066.666015625,12.272634506225586,≥70% coverage
3km,3000,county,Nairobi,649682.375,649300.1875,382.1875,99.94117317712366,10.069515448096835,10.493251990856828,193.8779754638672,188.2908935546875,50.72849725955641,49.266627912919056,8744.6201171875,466.86334228515625,≥70% coverage
3km,3000,county,Nandi,126661.2734375,126597.65625,63.6171875,99.9497737660664,1.9631402953705241,2.0459274986473357,16.61151123046875,47.004966735839844,26.11167183470465,73.88721284769126,12111.65625,109.01074981689453,≥70% coverage
3km,3000,county,Narok,113641.234375,95355.671875,18285.5625,83.90939468357037,1.7613409399937248,1.5410300397331,18206.345703125,79.216278076171875,99.56677954602162,0.43321761677373544,1177977.875,481.084228515625,≥70% coverage
3km,3000,county,Nyamira,94979.1484375,94979.1484375,0,100,1.4720947331201475,1.5349450956868593,0,0,NA,NA,0,0,≥70% coverage
3km,3000,county,Nyandarua,89094.9765625,88345.21875,749.7578125,99.1584735285563,1.3808951533338414,1.4277350605741503,749.7601318359375,0,100.00030934468423,0,52269.12109375,0.7605578899383545,≥70% coverage
3km,3000,county,Nyeri,106192.09375,105901.8203125,290.2734375,99.72665249619867,1.6458856968089561,1.7114649097949057,290.2716979980469,0,99.99940073677837,0,141169.078125,0,≥70% coverage
3km,3000,county,Samburu,30456.810546875,21384.53515625,9072.275390625,70.2126544844143,0.4720542469718629,0.3455925632269561,9015.107421875,57.16852951049805,99.36986074288401,0.6301454381507663,2137886.5,374.0953674316406,≥70% coverage
3km,3000,county,Siaya,164199.734375,164109.546875,90.1875,99.94507451528878,2.5449540044278707,2.6521520594273755,59.433494567871094,4.720914840698242,65.89992467678015,5.234555609921821,5323.06201171875,21.54110336303711,≥70% coverage
3km,3000,county,Taita Taveta,28379.4375,26273.740234375,2105.697265625,92.58020083863536,0.43985675971977634,0.42460634130282104,2037.57958984375,68.11756134033203,96.76507744521234,3.234917119964716,1765384.875,276.75482177734375,≥70% coverage
3km,3000,county,Tana River,30448.423828125,22400.123046875,8048.30078125,73.56743052881495,0.47192426007786414,0.36200534095342307,7899.87548828125,148.42454528808594,98.15581826521029,1.844172444870205,4241952,369.7892150878906,≥70% coverage
3km,3000,county,Tharaka Nithi,53671.18359375,52919.2265625,751.95703125,98.59895575074003,0.8318569705926024,0.8552204206495115,751.95599365234375,0,99.99986201370382,0,57610.4140625,0,≥70% coverage
3km,3000,county,Trans Nzoia,141875.390625,140556.375,1319.015625,99.07029991657512,2.1989459658701844,2.2715124532385405,1075.693359375,243.31378173828125,81.55273819254415,18.446618609107173,44581.296875,637.08587646484375,≥70% coverage
3km,3000,county,Turkana,88096.984375,53506.05078125,34590.93359375,60.73539424856165,1.3654271367524908,0.8647040070094515,32141.080078125,2440.62060546875,92.91764268522765,7.055665609180693,6800688.5,3510.19677734375,50–69% coverage
3km,3000,county,Uasin Gishu,167697.234375,167325.203125,372.03125,99.77815302000266,2.599162232378827,2.7041198425834887,235.21189880371094,136.81527709960938,63.22369392455901,36.7752109801554,13529.0390625,448.0269775390625,≥70% coverage
3km,3000,county,Vihiga,92844.1875,92844.1875,0,100,1.439004683322753,1.5004422824440655,0,0,NA,NA,226.87571716308594,0,≥70% coverage
3km,3000,county,Wajir,63336.50390625,34207.71484375,29128.7890625,54.009477527183826,0.9816610840219113,0.5528262255227554,28504.275390625,624.51611328125,97.85602597301585,2.143982408404486,6338071.5,1059.0635986328125,50–69% coverage
3km,3000,county,West Pokot,89102.3828125,73042.9765625,16059.40625,81.97645703393349,1.3810099438093988,1.1804376065000934,15779.5947265625,278.5638122558594,98.25764714409974,1.7345835077548981,645023.5625,708.8223876953125,≥70% coverage
3km,3000,county,Nakuru,314750.09375,308757.65625,5992.4375,98.09612844634776,4.8783544902315565,4.989790475206972,5081.42138671875,910.9942626953125,84.79723629522627,15.20239906874811,190524.671875,2896.271728515625,≥70% coverage
