"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".matched_county",".county_match"
"Bubisa healthcentre",2.6949924,38.0931879,"Level 3","Marsabit","North Horr","Turbi","open","Health Center","Government/Public Entity",1,"Marsabit",TRUE
"Tigo Dispensary",3.0931207,38.2540147,"Level 2","Marsabit","North Horr","Turbi","open","Dispensary","Government/Public Entity",2,"Marsabit",TRUE
"New Hope Medical Centre (Machakos)",-1.40889,37.5646112,"Level 2","Machakos",NA,"Wamunyu","open","Medical Clinic","Private",3,"Machakos",TRUE
"Abicom",-0.4383692,37.1068717,"Level 2","Nyeri","Mathira West","Kirimukuyu","open","Dispensary","Private",4,"Nyeri",TRUE
"Afya Medical Clinic (Muranga North)",-0.6524305,36.8986702,"Level 2","Muranga","Kangema","Rwathia","open","Medical Clinic","Private",5,"Muranga",TRUE
"Aguthi Dispensary",-0.501829,37.0239489,"Level 2","Nyeri","Tetu","Aguthi-gaaki","open","Dispensary","Government/Public Entity",6,"Nyeri",TRUE
"Ahadi Health and Maternity Services",-1.0013013,36.7413292,"Level 2","Kiambu","Lari","Nyanduma","open","Medical Clinic","Private",7,"Kiambu",TRUE
"Cardinal Otunga Health Centre",-0.9889686,36.9557562,"Level 2","Kiambu","Gatundu North","Mang'u","open","Health Center","Faith Based",8,"Kiambu",TRUE
"Princess Diamond Medical Clinic (Narok)",-1.2286423,34.8092668,"Level 2","Narok",NA,"Lolkorian","open","Medical Clinic","Private",9,"Narok",TRUE
"Gituamba (AIPCA) Dispensary",-0.9432476,36.987037,"Level 2","Muranga","Gatanga","Mugumo-ini","open","Dispensary","Faith Based",10,"Muranga",TRUE
"Gladwell Community Health Services",-0.4921798,36.9677339,"Level 2","Nyeri","Tetu","Wamagana","open","Medical Clinic","Private",11,"Nyeri",TRUE
"AMA (Africa Muslim Agency) Clinic",-1.0592164,37.1140821,"Level 2","Kiambu","Thika Town","Kamenu","open","Health Center","Faith Based",12,"Kiambu",TRUE
"Nahrain Dental Clinic (Nairobi)",-1.2716515,36.8481675,"Level 2","Nairobi",NA,"Kamkunji","open","Medical Clinic","Private",13,"Nairobi",TRUE
"Amboni Dispensary",-0.3375199,36.8727928,"Level 2","Nyeri","Kieni West","Mweiga","open","Dispensary","Government/Public Entity",14,"Nyeri",TRUE
"Anmer Dispensary",-1.1371382,36.8476017,"Level 2","Kiambu","Kiambu Town","Ting'ang'a","open","Dispensary","Government/Public Entity",15,"Kiambu",TRUE
"Annunciation Catholic Dispensary",-1.2129787,36.9694991,"Level 2","Kiambu","Ruiru","Mwihoko","open","Dispensary","Faith Based",16,"Kiambu",TRUE
"Rescue Centre (Thika)",-1.0593417,37.135235,"Level 2","Kiambu","Thika Town","Hospital","open","Dispensary","Government/Public Entity",17,"Kiambu",TRUE
"Arcade Medical Clinic",-0.4802361,37.1240064,"Level 2","Nyeri","Mathira East","Karatina Town","open","Medical Clinic","Private",18,"Nyeri",TRUE
