facility,latitude,longitude,keph_level,county,subcounty,ward,facility_status,facility_type,facility_owner
Bubisa healthcentre,2.6949924,38.0931879,Level 3,Marsabit,North Horr,Turbi,open,Health Center,Government/Public Entity
Tigo Dispensary,3.0931207,38.2540147,Level 2,Marsabit,North Horr,Turbi,open,Dispensary,Government/Public Entity
New Hope Medical Centre (Machakos),-1.40889,37.5646112,Level 2,Machakos,NA,Wamunyu,open,Medical Clinic,Private
Abicom,-0.4383692,37.1068717,Level 2,Nyeri,Mathira West,Kirimukuyu,open,Dispensary,Private
Afya Medical Clinic (Muranga North),-0.6524305,36.8986702,Level 2,Muranga,Kangema,Rwathia,open,Medical Clinic,Private
Aguthi Dispensary,-0.501829,37.0239489,Level 2,Nyeri,Tetu,Aguthi-gaaki,open,Dispensary,Government/Public Entity
Ahadi Health and Maternity Services,-1.0013013,36.7413292,Level 2,Kiambu,Lari,Nyanduma,open,Medical Clinic,Private
Cardinal Otunga Health Centre,-0.9889686,36.9557562,Level 2,Kiambu,Gatundu North,Mang'u,open,Health Center,Faith Based
Princess Diamond Medical Clinic (Narok),-1.2286423,34.8092668,Level 2,Narok,NA,Lolkorian,open,Medical Clinic,Private
Gituamba (AIPCA) Dispensary,-0.9432476,36.987037,Level 2,Muranga,Gatanga,Mugumo-ini,open,Dispensary,Faith Based
Gladwell Community Health Services,-0.4921798,36.9677339,Level 2,Nyeri,Tetu,Wamagana,open,Medical Clinic,Private
AMA (Africa Muslim Agency) Clinic,-1.0592164,37.1140821,Level 2,Kiambu,Thika Town,Kamenu,open,Health Center,Faith Based
Nahrain Dental Clinic (Nairobi),-1.2716515,36.8481675,Level 2,Nairobi,NA,Kamkunji,open,Medical Clinic,Private
Amboni Dispensary,-0.3375199,36.8727928,Level 2,Nyeri,Kieni West,Mweiga,open,Dispensary,Government/Public Entity
Anmer Dispensary,-1.1371382,36.8476017,Level 2,Kiambu,Kiambu Town,Ting'ang'a,open,Dispensary,Government/Public Entity
Annunciation Catholic Dispensary,-1.2129787,36.9694991,Level 2,Kiambu,Ruiru,Mwihoko,open,Dispensary,Faith Based
Rescue Centre (Thika),-1.0593417,37.135235,Level 2,Kiambu,Thika Town,Hospital,open,Dispensary,Government/Public Entity
Arcade Medical Clinic,-0.4802361,37.1240064,Level 2,Nyeri,Mathira East,Karatina Town,open,Medical Clinic,Private
Asantey Clinic,-1.0351624,37.076757,Level 2,Kiambu,Thika Town,Kamenu,open,Medical Clinic,Private
Assumption of Mary Health Centre,-0.999247,37.3392051,Level 3,Muranga,Gatanga,Ithanga,open,Nursing Home,Faith Based
Athi Dispensary,-1.1695868,37.1449677,Level 2,Kiambu,Juja,Kalimoni,open,Dispensary,Government/Public Entity
Atlas Medical Clinic,-0.5478429,36.9429822,Level 2,Nyeri,Nyeri South,Iria-ini,open,Medical Clinic,Private
Baari Health centre,0.0118418,36.4146235,Level 3,Nyandarua,Ndaragwa,Kiritta,open,Health Center,Government/Public Entity
