"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".remove_reason",".matched_county",".county_match"
"Beta Care Nursing Home",-1.292066,36.821946,"Level 3","Kiambu","Githunguri","Githunguri","open","Medical Center","Faith Based",31,"CSV county does not match spatial county","Nairobi",FALSE
"Dr Macharia",-1.2884754,36.8270955,"Level 2","Kiambu","Thika Town","Township","open","Medical Clinic","Private",58,"CSV county does not match spatial county","Nairobi",FALSE
"Gathanga Health Centre",-1.1918347,36.7935287,"Level 3","Kiambu","Kiambaa","Muchatha","open","Dispensary","Government/Public Entity",89,"CSV county does not match spatial county","Nairobi",FALSE
"Gracious Medical Clinic",-0.8161242,36.116347,"Level 2","Laikipia","Laikipia East","Ngobit","open","Medical Clinic","Private",144,"CSV county does not match spatial county","Narok",FALSE
"Kiangai Medical Clinic",-0.4802083,37.1767762,"Level 2","Kirinyaga","Kirinyaga West","Kiine","open","Medical Center","Private",271,"CSV county does not match spatial county","Nyeri",FALSE
"Kigumo Level 4 Hospital Githunguri",-1.292066,36.821946,"Level 3","Kiambu","Githunguri","Komothai","open","Hospital","Government/Public Entity",285,"CSV county does not match spatial county","Nairobi",FALSE
"Miguta Community Dispensary",-1.292066,36.821946,"Level 2","Kiambu","Githunguri","Ngewa","open","Dispensary","Government/Public Entity",346,"CSV county does not match spatial county","Nairobi",FALSE
"Nanyuki Cottage",0.019127,37.0739323,"Level 2","Nyeri","Kieni East","Gakawa","open","Medical Clinic","Private",396,"CSV county does not match spatial county","Laikipia",FALSE
"Ndururumo Dispensary",0.3736489,36.4228179,"Level 2","Kiambu","Juja","Theta","open","Dispensary","Government/Public Entity",412,"CSV county does not match spatial county","Laikipia",FALSE
"St Teresa Catholic Dispensary",-0.7633317,37.377665,"Level 2","Kirinyaga","Kirinyaga North/Mwea West","Wamumu","open","Dispensary","Faith Based",499,"CSV county does not match spatial county","Embu",FALSE
"Miasenyi Dispensary",-3.6763053,38.9475315,"Level 2","Taita Taveta","Voi","Marungu","open","Dispensary","Government/Public Entity",761,"CSV county does not match spatial county","Kwale",FALSE
"Ng'ombeni Dispensary",-4.1281363,39.63236,"Level 2","Kwale","Matuga","Waangombeni","open","Dispensary","Government/Public Entity",836,"CSV county does not match spatial county","Mombasa",FALSE
"78 Tank Battalion Dispensary",0.3601831,37.6140803,"Level 2","Isiolo","Isiolo","Wabera","open","Dispensary","Government/Public Entity",940,"CSV county does not match spatial county","Meru",FALSE
"Illaut Dispensary",1.8684049,37.244128,"Level 2","Marsabit","Laisamis","Korr/Ngurunit","open","Dispensary","Faith Based",1041,"CSV county does not match spatial county","Samburu",FALSE
"Kilome Maternity and Nursing Home Hospital",-2.0781543,37.4631852,"Level 2","Makueni","Kibwezi West","Emali/Mulala","open","Hospital","Private",1205,"CSV county does not match spatial county","Kajiado",FALSE
"Kula Mawe Dispensary",-0.5205593,37.4542348,"Level 2","Isiolo","Garbatulla","Kinna","open","Dispensary","Government/Public Entity",1258,"CSV county does not match spatial county","Embu",FALSE
"Ngurunit Health centre",1.7415184,37.3082754,"Level 3","Marsabit","Laisamis","Korr/Ngurunit","open","Health Center","Government/Public Entity",1433,"CSV county does not match spatial county","Samburu",FALSE
"Round About Medical Dispensary",-1.2035339,36.9153946,"Level 2","Nairobi","Roysambu","Githurai","open","Dispensary","Private",1690,"CSV county does not match spatial county","Kiambu",FALSE
"St Mary's Health Services",-1.2032904,36.915741,"Level 3","Nairobi","Ruaraka","Korogocho","open","Health Center","Private",1707,"CSV county does not match spatial county","Kiambu",FALSE
"Athibohol Dispensary",1.6981874,39.2156932,"Level 2","Wajir","Wajir West","Hadado/Athibohol","open","Dispensary","Government/Public Entity",1741,"CSV county does not match spatial county","Isiolo",FALSE
"Basir Dispensary",2.5591378,38.8803804,"Level 2","Wajir","Eldas","Lakoley South/Basir","open","Dispensary","Government/Public Entity",1744,"CSV county does not match spatial county","Marsabit",FALSE
"Bour-algy Dispensary",-0.5059035,39.6756328,"Level 2","Garissa","Garissa","Iftin","open","Dispensary","Government/Public Entity",1751,"CSV county does not match spatial county","Tana River",FALSE
"Godoma Health Centre (NEP)",3.4491193,39.3004027,"Level 3","Wajir","Wajir North","Godoma","open","Health Center","Government/Public Entity",1777,"CSV county does not match spatial county","Marsabit",FALSE
"Kamuthe Health Centre",-0.7318978,39.8327812,"Level 3","Garissa","Fafi","Nanighi","open","Health Center","Government/Public Entity",1796,"CSV county does not match spatial county","Tana River",FALSE
"Korakora Health Centre",-0.6076148,39.7802074,"Level 3","Garissa","Garissa","Iftin","open","Health Center","Government/Public Entity",1799,"CSV county does not match spatial county","Tana River",FALSE
"Mansabubu Health Centre",-1.2112051,40.027007,"Level 3","Garissa","Fafi","Bura","open","Health Center","Government/Public Entity",1812,"CSV county does not match spatial county","Tana River",FALSE
"Nanighi Health Centre",-0.8569979,39.8679673,"Level 3","Garissa","Fafi","Nanighi","open","Health Center","Government/Public Entity",1815,"CSV county does not match spatial county","Tana River",FALSE
"Sabuli Health Centre",0.3508612,40.1116326,"Level 3","Wajir","Wajir South","Benane","open","Health Center","Government/Public Entity",1825,"CSV county does not match spatial county","Garissa",FALSE
"Itibo Eramani Dispensary",-0.9235692,34.8675888,"Level 2","Kisii","Bobasi","Nyacheki","open","Dispensary","Government/Public Entity",1974,"CSV county does not match spatial county","Narok",FALSE
"Johpas Clinic",-0.6230541,34.6216701,"Level 2","Siaya","Gem","East Gem","open","Dispensary","Private",1980,"CSV county does not match spatial county","Homa Bay",FALSE
"Ogango Health Centre",-0.5155995,34.8685511,"Level 3","Nyamira","Nyamira","Bogichora","open","Health Center","Government/Public Entity",2213,"CSV county does not match spatial county","Kisii",FALSE
"3KR Health Centre",-1.0362796,37.0766181,"Level 3","Nakuru","Nakuru East","Menengai","open","Medical Clinic","Private",2365,"CSV county does not match spatial county","Kiambu",FALSE
"Chebororwa Health Centre",0.9445718,35.392498,"Level 3","elgeyo Marakwet","Marakwet West","Cherang'any/Chebororwa","open","Health Center","Government/Public Entity",2440,"CSV county does not match spatial county","Uasin Gishu",FALSE
"Chemursoi Dispensary",-0.0298979,34.9671637,"Level 2","Nandi","Tinderet","Chemelil/Chemase","open","Dispensary","Government/Public Entity",2460,"CSV county does not match spatial county","Kisumu",FALSE
"Intrepids Dispensary",0.5783742,37.4928886,"Level 2","Samburu","Samburu East","Wamba West","open","Medical Clinic","Private",2638,"CSV county does not match spatial county","Isiolo",FALSE
"Katee Dispensary",0.7775435,35.4798314,"Level 2","Elgeyo Marakwet","Marakwet West","Moiben/Kuserwo","open","Dispensary","Government/Public Entity",2825,"CSV county does not match spatial county","Uasin Gishu",FALSE
"Kiptagich Tegat Dispensary",-0.5999871,35.5769991,"Level 2","Nakuru","Kuresoi South","Kiptagich","open","Dispensary","Private",2918,"CSV county does not match spatial county","Narok",FALSE
"Lorogon Dispensary",1.9333333,35.3614434,"Level 2","Turkana","Turkana South","Kaputir","open","Dispensary","Government/Public Entity",3041,"CSV county does not match spatial county","West Pokot",FALSE
"NYS Dispensary (Kirimun)",0.7415786,36.82156,"Level 2","Samburu","Samburu Central","Lodokejek","open","Dispensary","Government/Public Entity",3239,"CSV county does not match spatial county","Laikipia",FALSE
